Paralogue_Pair1,RCC_scA,RCC_scB,Duplication type1,9_Supercluster_Class,36_RCC_Class,scA_RCC-u?,scB_RCC-u?,Morphological Differentiation2,Ka,Ks,Ka/Ks,scA_Orthogroup3,scB_paralogue3,scA_Orthogroup_rank3,scB_Orthogroup_rank3,Pair_Orthogroup_rank,scA_subgenome4,scB_subgenome4
AT1G02720/AT4G02130,AT1G02720,AT4G02130,alpha,2,2,yes,yes,NA,0.124518899,0.898660582,0.138560543,ORTHO003213,ORTHO003213,2418,2418,2418,?,?
AT1G02750/AT4G02200,AT1G02750,AT4G02200,alpha,2,2,yes,yes,NA,0.299571334,0.837336503,0.357766958,NA,NA,NA,NA,NA,?,?
AT1G02780/AT4G02230,AT1G02780,AT4G02230,alpha,3,3,yes,yes,NA,0.058197946,0.965119961,0.060301256,NA,ORTHO001991,NA,1553,1553,?,?
AT1G02810/AT4G02330,AT1G02810,AT4G02330,alpha,3,3,no,no,NA,0.139595493,1.067876659,0.130722488,ORTHO000349_1,ORTHO000349_1,5911,5911,5911,?,?
AT1G02816/AT4G02370,AT1G02816,AT4G02370,alpha,2,2,yes,yes,NA,0.202361075,0.871192977,0.232280425,ORTHO003090,ORTHO003090,5331,5331,5331,?,?
AT1G02840/AT4G02430,AT1G02840,AT4G02430,alpha,3,3,yes,no,NA,0.1387521,0.662915481,0.209305868,ORTHO001300,NA,943,NA,943,?,?
AT1G02890/AT4G02480,AT1G02890,AT4G02480,alpha,2,2,no,yes,NA,0.112739467,0.601210089,0.187520916,NA,NA,NA,NA,NA,?,?
AT1G03060/AT4G02660,AT1G03060,AT4G02660,alpha,3,3,yes,no,NA,0.110287635,0.523244462,0.210776498,ORTHO003650,ORTHO003650,2382,2382,2382,?,?
AT1G03070/AT4G02690,AT1G03070,AT4G02690,alpha,3,3,no,no,NA,0.122544311,0.984975218,0.124413598,ORTHO003437,NA,666,NA,666,?,?
AT1G03080/AT4G02710,AT1G03080,AT4G02710,alpha,3,3,yes,no,NA,0.245308611,0.543888617,0.451027294,ORTHO000503,ORTHO000503,19,19,19,?,?
AT1G03130/AT4G02770,AT1G03130,AT4G02770,alpha,2,2,no,no,No,0.031063786,0.57490356,0.054033037,ORTHO004847,ORTHO004847,1044,1044,1044,?,?
AT1G03210/AT4G02860,AT1G03210,AT4G02860,alpha,2,2,no,yes,NA,0.18180709,0.625547061,0.29063695,ORTHO002311,ORTHO002311,8671,8671,8671,?,?
AT1G03290/AT4G02880,AT1G03290,AT4G02880,alpha,2,2,yes,yes,NA,0.349534139,0.733213289,0.476715499,NA,NA,NA,NA,NA,B,A
AT1G03370/AT4G03000,AT1G03370,AT4G03000,alpha,2,2,yes,yes,NA,1.599211685,1.695296043,0.943322962,ORTHO000806_1,ORTHO001890,559,2466,NA,?,?
AT1G03440/AT4G03010,AT1G03440,AT4G03010,alpha,2,2,no,no,NA,0.08857546,0.81771958,0.108320092,ORTHO003229,ORTHO003229,661,661,661,B,A
AT1G03457/AT4G03110,AT1G03457,AT4G03110,alpha,2,2,no,yes,NA,0.169819657,0.644347363,0.263552964,ORTHO003219,ORTHO003219,189,189,189,B,A
AT1G03470/AT4G03150,AT1G03470,AT4G03150,alpha,3,3,no,no,NA,1.43537281,1.17032275,1.226476038,NA,NA,NA,NA,NA,?,?
AT1G03520/AT4G03340,AT1G03520,AT4G03340,alpha,3,3,yes,no,NA,0.120488645,0.80737278,0.149235456,ORTHO001491_1,ORTHO001491_1,1903,1903,1903,?,?
AT1G03610/AT4G03420,AT1G03610,AT4G03420,alpha,3,3,yes,no,NA,0.077451222,0.552659134,0.140142843,ORTHO002996,ORTHO002996,281,281,281,?,?
AT1G03700/AT4G03540,AT1G03700,AT4G03540,alpha,3,3,no,no,NA,0.100391759,0.986575557,0.101757801,ORTHO003576,NA,5674,NA,5674,?,?
AT1G03730/AT4G03600,AT1G03730,AT4G03600,alpha,3,3,yes,no,NA,0.097868405,0.611045845,0.160165405,ORTHO005452,ORTHO005452,3725,3725,3725,?,?
AT1G03740/AT5G44290,AT1G03740,AT5G44290,alpha,2,2,yes,no,NA,0.204960081,0.729805908,0.280841904,NA,NA,NA,NA,NA,?,?
AT1G03770/AT5G44280,AT1G03770,AT5G44280,alpha,2,2,no,no,NA,0.287482437,0.689470786,0.416961012,ORTHO001688,ORTHO001688,75,75,75,?,?
AT1G03780/AT5G44270,AT1G03780,AT5G44270,alpha,1,1,no,no,NA,0.76545719,0.473125298,1.617874152,ORTHO004519,NA,1257,NA,1257,?,?
AT1G03790/AT5G44260,AT1G03790,AT5G44260,alpha,3,3,no,no,NA,0.220734702,0.814982449,0.270845958,NA,NA,NA,NA,NA,?,?
AT1G03840/AT5G44160,AT1G03840,AT5G44160,alpha,2,2,no,no,NA,0.215542271,1.192171111,0.180798099,ORTHO003232,ORTHO003232,941,941,941,?,?
AT1G03860/AT5G44140,AT1G03860,AT5G44140,alpha,1,1,yes,no,NA,0.113746381,0.783083717,0.145254433,ORTHO002545,NA,2279,NA,2279,?,?
AT1G03870/AT5G44130,AT1G03870,AT5G44130,alpha,3,3,yes,no,NA,0.119100764,0.953389737,0.124923481,ORTHO006508,NA,3663,NA,3663,?,?
AT1G03880/AT5G44120,AT1G03880,AT5G44120,alpha,1,1,no,no,NA,0.167043258,1.03797365,0.160932079,ORTHO000574,ORTHO000574,7953,7953,7953,?,?
AT1G03930/AT5G44100,AT1G03930,AT5G44100,alpha,2,2,yes,yes,NA,0.077814765,0.610684927,0.127422115,NA,NA,NA,NA,NA,?,?
AT1G03970/AT5G44080,AT1G03970,AT5G44080,alpha,2,2,yes,no,NA,0.322747017,0.854351306,0.377768507,NA,ORTHO002871,NA,5159,5159,?,?
AT1G04030/AT5G44040,AT1G04030,AT5G44040,alpha,2,3,no,no,NA,0.35851163,0.751280652,0.47720067,ORTHO010020,NA,3901,NA,3901,?,?
AT1G04050/AT5G43990,AT1G04050,AT5G43990,alpha,2,2,no,no,NA,0.324471719,0.931166028,0.348457428,ORTHO000830,ORTHO000830,6657,6657,6657,?,?
AT1G04090/AT5G43950,AT1G04090,AT5G43950,alpha,2,2,no,no,NA,0.179681098,0.833298109,0.215626431,ORTHO000268_2,ORTHO000268_2,222,222,222,?,?
AT1G04140/AT5G43930,AT1G04140,AT5G43930,alpha,3,3,yes,no,NA,0.130749905,0.518665512,0.252089067,ORTHO002523,ORTHO002523,1519,1519,1519,?,?
AT1G04180/AT5G43890,AT1G04180,AT5G43890,alpha,2,3,no,no,NA,0.093797519,0.954684309,0.098249776,NA,NA,NA,NA,NA,?,?
AT1G04230/AT5G43720,AT1G04230,AT5G43720,alpha,2,2,yes,no,NA,0.135663522,0.594480614,0.228205123,ORTHO005701,ORTHO005701,2639,2639,2639,?,?
AT1G04270/AT5G43640,AT1G04270,AT5G43640,alpha,3,3,yes,no,NA,0.060700453,0.742059748,0.081799954,ORTHO001725,NA,3446,NA,3446,?,?
AT1G04300/AT5G43560,AT1G04300,AT5G43560,alpha,2,2,yes,yes,NA,0.247109401,0.718300946,0.344019317,ORTHO001522,ORTHO001522,1025,1025,1025,?,?
AT1G04370/AT5G43410,AT1G04370,AT5G43410,alpha,1,0,no,no,NA,0.079790012,0.922046548,0.086535775,NA,ORTHO002275,NA,7197,7197,?,?
AT1G04410/AT5G43330,AT1G04410,AT5G43330,alpha,3,3,yes,yes,NA,0.03674112,0.714817602,0.051399294,ORTHO001171,ORTHO001171,1740,1740,1740,?,?
AT1G04470/AT2G33420,AT1G04470,AT2G33420,alpha,1,0,no,no,NA,0.097497389,1.114271811,0.087498748,ORTHO000329_3,ORTHO000329_3,134,134,134,?,?
AT1G04480/AT2G33370,AT1G04480,AT2G33370,alpha,2,2,yes,yes,NA,0,0.679665115,0,ORTHO001148,ORTHO001148,1664,1664,1664,?,?
AT1G04490/AT2G33360,AT1G04490,AT2G33360,alpha,3,3,no,no,NA,0.354039965,0.638540799,0.554451595,NA,ORTHO005064,NA,550,550,A,B
AT1G04500/AT2G33350,AT1G04500,AT2G33350,alpha,1,1,no,no,NA,0.219935046,0.795618313,0.27643286,ORTHO002947,NA,969,NA,969,?,?
AT1G04510/AT2G33340,AT1G04510,AT2G33340,alpha,2,2,yes,yes,NA,0.08492697,0.660462693,0.128587082,ORTHO002981,ORTHO002981,230,230,230,?,?
AT1G04520/AT2G33330,AT1G04520,AT2G33330,alpha,2,2,no,no,NA,0.130912027,0.559639593,0.233922025,ORTHO003945,ORTHO003945,384,384,384,?,?
AT1G04540/AT2G33320,AT1G04540,AT2G33320,alpha,2,1,no,no,NA,0.161662487,1.077223726,0.150073269,ORTHO003635,ORTHO003635,1028,1028,1028,?,?
AT1G04570/AT2G33280,AT1G04570,AT2G33280,alpha,3,3,no,no,NA,0.194470335,0.651540222,0.298477867,ORTHO005234,ORTHO005234,4531,4531,4531,?,?
AT1G04600/AT2G33240,AT1G04600,AT2G33240,alpha,2,2,no,no,NA,0.106346908,0.556313556,0.191163611,NA,NA,NA,NA,NA,?,?
AT1G04610/AT2G33230,AT1G04610,AT2G33230,alpha,3,3,no,no,NA,0.110044687,0.982899856,0.111959205,NA,NA,NA,NA,NA,A,B
AT1G04630/AT2G33220,AT1G04630,AT2G33220,alpha,2,2,yes,yes,NA,0.01591994,0.598320862,0.026607696,ORTHO005043,ORTHO005043,1772,1772,1772,?,?
AT1G04750/AT2G33120,AT1G04750,AT2G33120,alpha,2,2,yes,yes,NA,0.023831229,0.614564149,0.038777447,NA,NA,NA,NA,NA,?,?
AT1G04760/AT2G32670,AT1G04760,AT2G32670,alpha,2,3,no,no,NA,0.051898428,0.460319637,0.112744328,ORTHO001227,NA,4299,NA,4299,?,?
AT1G04810/AT2G32730,AT1G04810,AT2G32730,alpha,2,2,yes,yes,NA,0.048280753,0.615374543,0.078457507,ORTHO002002,ORTHO002002,361,361,361,?,?
AT1G04860/AT2G32780,AT1G04860,AT2G32780,alpha,1,1,yes,no,NA,0.413648109,0.802364635,0.515536318,ORTHO005574,ORTHO005574,2428,2428,2428,?,?
AT1G04930/AT2G32840,AT1G04930,AT2G32840,alpha,2,2,no,no,NA,0.354890931,0.714627481,0.496609689,NA,ORTHO007102,NA,7009,7009,?,?
AT1G04980/AT2G32920,AT1G04980,AT2G32920,alpha,2,2,yes,yes,NA,0.12899837,0.552121909,0.233641101,ORTHO005909,ORTHO005909,1918,1918,1918,?,?
AT1G04990/AT2G32930,AT1G04990,AT2G32930,alpha,2,2,yes,yes,NA,0.199919345,0.503887405,0.396754003,NA,NA,NA,NA,NA,A,B
AT1G05000/AT2G32960,AT1G05000,AT2G32960,alpha,2,2,no,no,NA,0.15576623,0.869357689,0.179173926,ORTHO002580,NA,1367,NA,1367,A,B
AT1G05100/AT2G32510,AT1G05100,AT2G32510,alpha,3,3,yes,no,NA,0.177909881,0.721719143,0.246508469,ORTHO000928,ORTHO000928,694,694,694,A,B
AT1G05140/AT2G32480,AT1G05140,AT2G32480,alpha,2,2,no,no,NA,0.117269823,0.916547986,0.127947281,ORTHO005545,ORTHO005545,3584,3584,3584,?,?
AT1G05150/AT2G32450,AT1G05150,AT2G32450,alpha,2,2,yes,no,NA,0.057548418,0.665433844,0.086482553,ORTHO004688,ORTHO004688,834,834,834,?,?
AT1G05160/AT2G32440,AT1G05160,AT2G32440,alpha,2,2,no,no,NA,0.141849095,0.800738689,0.177147798,ORTHO000850,ORTHO000850,7550,7550,7550,?,?
AT1G05170/AT2G32430,AT1G05170,AT2G32430,alpha,3,3,no,no,NA,0.0721176,0.660055686,0.109259873,NA,NA,NA,NA,NA,?,?
AT1G05180/AT2G32410,AT1G05180,AT2G32410,alpha,2,2,yes,no,NA,0.114465729,0.659110383,0.17366701,ORTHO004946,ORTHO004946,3707,3707,3707,A,B
AT1G05200/AT2G32390,AT1G05200,AT2G32390,alpha,2,4,no,no,NA,0.131457694,0.64950479,0.202396805,NA,NA,NA,NA,NA,?,?
AT1G05210/AT2G32380,AT1G05210,AT2G32380,alpha,2,2,yes,yes,NA,0.166734998,0.635473395,0.262379196,ORTHO003326,ORTHO003326,5648,5648,5648,?,?
AT1G05230/AT2G32370,AT1G05230,AT2G32370,alpha,1,1,no,no,NA,0.310811333,0.934229372,0.332692744,NA,NA,NA,NA,NA,?,?
AT1G05270/AT2G32340,AT1G05270,AT2G32340,alpha,3,3,yes,no,NA,0.243161943,0.612375946,0.397079514,ORTHO006326,NA,2772,NA,2772,?,?
AT1G05290/AT2G32310,AT1G05290,AT2G32310,alpha,1,1,no,no,NA,1.347449935,1.522669153,0.88492627,NA,NA,NA,NA,NA,A,B
AT1G05340/AT2G32210,AT1G05340,AT2G32210,alpha,3,3,yes,yes,NA,0.170036769,0.875960237,0.194114712,NA,NA,NA,NA,NA,?,?
AT1G05420/AT2G32100,AT1G05420,AT2G32100,alpha,3,3,no,no,NA,0.236384205,0.601128165,0.393234287,NA,NA,NA,NA,NA,?,?
AT1G05470/AT2G32010,AT1G05470,AT2G32010,alpha,2,2,no,no,NA,0.062932009,0.796945492,0.078966515,ORTHO000561,ORTHO000561,44,44,44,A,B
AT1G05575/AT2G31945,AT1G05575,AT2G31945,alpha,2,3,yes,yes,NA,0.292138863,1.096584898,0.266407885,ORTHO002688,ORTHO002688,3529,3529,3529,?,?
AT1G05580/AT2G31910,AT1G05580,AT2G31910,alpha,1,1,no,no,Low,0.201374838,1.295893718,0.155394563,NA,NA,NA,NA,NA,?,?
AT1G05630/AT2G31830,AT1G05630,AT2G31830,alpha,3,3,no,no,NA,0.152111314,0.696298565,0.218457026,ORTHO000804,ORTHO000804,927,927,927,A,B
AT1G05670/AT2G31790,AT1G05670,AT2G31790,alpha,3,2,no,no,NA,1.49999495,1.211045593,1.238594945,ORTHO010170,NA,7019,NA,7019,?,?
AT1G05680/AT2G31750,AT1G05680,AT2G31750,alpha,3,4,yes,yes,NA,0.392439956,1.555974277,0.252214938,NA,NA,NA,NA,NA,?,?
AT1G05710/AT2G31730,AT1G05710,AT2G31730,alpha,3,3,no,no,NA,0.154874669,0.44881173,0.345077143,ORTHO006458,ORTHO006458,1322,1322,1322,?,?
AT1G05730/AT2G31725,AT1G05730,AT2G31725,alpha,3,2,no,no,NA,0.111539127,0.620803001,0.179669117,ORTHO005763,ORTHO005763,3841,3841,3841,?,?
AT1G05800/AT2G31690,AT1G05800,AT2G31690,alpha,2,2,no,no,NA,0.205914929,0.945346501,0.217819529,ORTHO002994,ORTHO002994,2602,2602,2602,?,?
AT1G05810/AT2G31680,AT1G05810,AT2G31680,alpha,3,3,yes,yes,NA,0.063292176,0.854348749,0.074082365,ORTHO004379,ORTHO004379,4132,4132,4132,A,B
AT1G05830/AT2G31650,AT1G05830,AT2G31650,alpha,2,2,yes,no,NA,0.15439004,0.507298599,0.304337603,ORTHO004224,ORTHO004224,5144,5144,5144,?,?
AT1G05860/AT2G31600,AT1G05860,AT2G31600,alpha,2,3,yes,no,NA,0.198773506,0.759582945,0.261687689,NA,ORTHO002760,NA,8234,8234,A,B
AT1G05870/AT2G31560,AT1G05870,AT2G31560,alpha,2,3,yes,no,NA,0.182631877,0.679078805,0.268940623,ORTHO002295,ORTHO002295,2256,2256,2256,?,?
AT1G05890/AT2G31510,AT1G05890,AT2G31510,alpha,2,2,yes,yes,NA,0.133524161,0.554165663,0.240946291,ORTHO000537,ORTHO000537,3358,3358,3358,A,B
AT1G05900/AT2G31450,AT1G05900,AT2G31450,alpha,2,2,no,no,NA,0.193225781,0.619668871,0.311821022,ORTHO004807,ORTHO004807,3798,3798,3798,?,?
AT1G06040/AT2G31380,AT1G06040,AT2G31380,alpha,3,3,no,no,NA,0.155995165,0.95139806,0.16396414,ORTHO003029,ORTHO003029,269,269,269,?,?
AT1G06070/AT2G31370,AT1G06070,AT2G31370,alpha,2,2,yes,yes,NA,0.106924383,0.685397425,0.15600348,ORTHO003304,ORTHO003304,1967,1967,1967,?,?
AT1G06150/AT2G31280,AT1G06150,AT2G31280,alpha,2,2,no,no,NA,0.205486086,0.634734409,0.323735538,NA,NA,NA,NA,NA,?,?
AT1G06180/AT2G31180,AT1G06180,AT2G31180,alpha,3,4,no,no,NA,0.249917672,0.864025561,0.289248008,NA,ORTHO001150,NA,773,773,A,B
AT1G06200/AT2G31140,AT1G06200,AT2G31140,alpha,3,3,yes,no,NA,0.152816818,0.696522097,0.219399813,ORTHO004975,ORTHO004975,1669,1669,1669,A,B
AT1G06250/AT2G31100,AT1G06250,AT2G31100,alpha,2,2,no,no,NA,1.201829069,1.916843052,0.626983554,NA,NA,NA,NA,NA,A,B
AT1G06390/AT2G30980,AT1G06390,AT2G30980,alpha,2,2,yes,yes,NA,0.042062335,0.606668825,0.069333273,NA,NA,NA,NA,NA,?,?
AT1G06640/AT2G30830,AT1G06640,AT2G30830,alpha,3,3,yes,no,NA,0.284321417,1.12706137,0.25226791,NA,NA,NA,NA,NA,?,?
AT1G06660/AT2G30820,AT1G06660,AT2G30820,alpha,3,3,no,no,NA,0.261918781,0.541449075,0.483736686,NA,NA,NA,NA,NA,?,?
AT1G06680/AT2G30790,AT1G06680,AT2G30790,alpha,3,3,no,no,NA,0.053534424,0.433520317,0.123487693,ORTHO003889,NA,175,NA,175,?,?
AT1G06700/AT2G30740,AT1G06700,AT2G30740,alpha,2,2,yes,yes,NA,0.066036938,0.629783213,0.104856618,ORTHO000406_1,ORTHO000406_1,2181,2181,2181,?,?
AT1G06740/AT2G30640,AT1G06740,AT2G30640,alpha,NA,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,?,?
AT1G06750/AT2G30630,AT1G06750,AT2G30630,alpha,2,2,no,no,NA,0.091840813,0.894786455,0.102639923,ORTHO000871,ORTHO000871,1612,1612,1612,?,?
AT1G06760/AT2G30620,AT1G06760,AT2G30620,alpha,2,2,yes,yes,NA,0.338318452,1.225484266,0.276069192,NA,ORTHO002977,NA,4655,4655,?,?
AT1G06770/AT2G30580,AT1G06770,AT2G30580,alpha,2,2,no,no,NA,0.151552899,0.677364739,0.223738985,ORTHO001384,ORTHO001384,9,9,9,?,?
AT1G06830/AT2G30540,AT1G06830,AT2G30540,alpha,1,1,no,no,NA,0.064382671,0.912854073,0.070528985,NA,NA,NA,NA,NA,?,?
AT1G06870/AT2G30440,AT1G06870,AT2G30440,alpha,2,2,yes,yes,NA,0.167859812,0.670649831,0.250294273,ORTHO001295_1,ORTHO001295_1,747,747,747,?,?
AT1G06890/AT2G30460,AT1G06890,AT2G30460,alpha,2,3,yes,yes,NA,0.048119578,0.542818015,0.088647717,ORTHO002709,ORTHO002709,1302,1302,1302,?,?
AT1G06970/AT2G30240,AT1G06970,AT2G30240,alpha,1,1,no,no,NA,0.183983599,1.355757905,0.135705349,NA,NA,NA,NA,NA,?,?
AT1G06990/AT2G30310,AT1G06990,AT2G30310,alpha,1,1,no,no,NA,0.446923355,2.672845825,0.167208805,ORTHO002288,ORTHO002288,8735,8735,8735,?,?
AT1G06990/AT2G30220,AT1G06990,AT2G30220,alpha,2,2,no,no,NA,0.459373664,1.854034347,0.24776977,ORTHO002288,ORTHO002288,8735,8735,8735,?,?
AT1G07140/AT2G30060,AT1G07140,AT2G30060,alpha,2,3,yes,yes,NA,0.076750848,0.68676474,0.111757118,ORTHO001588,ORTHO001588,1278,1278,1278,?,?
AT1G07170/AT2G30000,AT1G07170,AT2G30000,alpha,2,2,yes,yes,NA,0.003947378,0.864509632,0.004566031,ORTHO003092,ORTHO003092,1284,1284,1284,?,?
AT1G07200/AT2G29970,AT1G07200,AT2G29970,alpha,2,2,yes,no,NA,0.225181047,1.081012205,0.208305739,ORTHO001011,ORTHO001011,1143,1143,1143,?,?
AT1G07250/AT2G29740,AT1G07250,AT2G29740,alpha,2,2,no,no,NA,0.270836697,1.082794507,0.250127513,ORTHO000458,ORTHO000458,9078,9078,9078,?,?
AT1G07360/AT2G29580,AT1G07360,AT2G29580,alpha,3,3,yes,no,NA,0.075850931,0.635232991,0.119406473,ORTHO002813,ORTHO002813,2913,2913,2913,?,?
AT1G07370/AT2G29570,AT1G07370,AT2G29570,alpha,2,2,no,no,NA,0.016538708,1.137260617,0.014542584,ORTHO005564,ORTHO005564,2751,2751,2751,?,?
AT1G07400/AT2G29500,AT1G07400,AT2G29500,alpha,2,2,yes,yes,NA,0.091042946,1.048107955,0.086864093,ORTHO000389,ORTHO000389,8222,8222,8222,?,?
AT1G07420/AT2G29390,AT1G07420,AT2G29390,alpha,2,2,yes,yes,NA,0.048733973,0.687720674,0.070863034,ORTHO003448,ORTHO003448,1349,1349,1349,?,?
AT1G07430/AT2G29380,AT1G07430,AT2G29380,alpha,3,3,no,no,NA,0.215779073,1.01875555,0.211806525,ORTHO001335,ORTHO001335,82,82,82,?,?
AT1G07440/AT2G29300,AT1G07440,AT2G29300,alpha,1,1,no,no,NA,0.266518918,1.532083995,0.173958425,NA,NA,NA,NA,NA,?,?
AT1G07460/AT2G29220,AT1G07460,AT2G29220,alpha,0,0,no,no,NA,0.325427283,0.608570148,0.534740792,NA,NA,NA,NA,NA,?,?
AT1G07510/AT2G29080,AT1G07510,AT2G29080,alpha,2,2,yes,yes,NA,0.09641069,0.82679023,0.116608405,ORTHO001446,ORTHO001446,2647,2647,2647,?,?
AT1G07520/AT2G29060,AT1G07520,AT2G29060,alpha,3,3,yes,no,NA,0.538566252,1.55514208,0.346313214,NA,NA,NA,NA,NA,?,?
AT1G07530/AT2G29060,AT1G07530,AT2G29060,alpha,3,3,no,no,NA,0.182970332,0.776211373,0.235722302,NA,NA,NA,NA,NA,?,?
AT1G07570/AT2G28930,AT1G07570,AT2G28930,alpha,3,3,yes,no,NA,0.137171913,0.889422639,0.154225795,NA,NA,NA,NA,NA,?,?
AT1G07630/AT2G28890,AT1G07630,AT2G28890,alpha,2,2,no,yes,NA,0.116310822,0.902827827,0.12882946,ORTHO001163,ORTHO001163,355,355,355,?,?
AT1G07640/AT2G28810,AT1G07640,AT2G28810,alpha,2,2,no,no,NA,0.237707583,0.798939523,0.297528882,NA,NA,NA,NA,NA,A,?
AT1G07720/AT2G28630,AT1G07720,AT2G28630,alpha,0,0,no,no,NA,0.11301137,0.90578632,0.124766037,ORTHO000460,ORTHO000460,5268,5268,5268,?,?
AT1G07750/AT2G28680,AT1G07750,AT2G28680,alpha,3,3,yes,no,NA,0.065476173,0.705692191,0.092782908,ORTHO001445,ORTHO001445,6078,6078,6078,?,?
AT1G07790/AT2G28720,AT1G07790,AT2G28720,alpha,3,3,no,no,NA,0.089111717,2.123258934,0.041969312,ORTHO001149,ORTHO001149,7225,7225,7225,?,?
AT1G07820/AT2G28740,AT1G07820,AT2G28740,alpha,2,2,yes,yes,NA,0.022028015,1.331214263,0.01654731,NA,NA,NA,NA,NA,?,?
AT1G07870/AT2G28590,AT1G07870,AT2G28590,alpha,3,3,no,no,NA,0.210936109,0.760106144,0.277508754,NA,NA,NA,NA,NA,?,?
